lang,name,lnum,lon,precision,rank,feature,languages,link,time,lat,seen,type,id
ru,Софьино (Одинцовский район),2,37.0236,0.1,,ru,ru|uk,http://stats.grok.se/ru/201506/Софьино (Одинцовский район),201506,55.5972,15,adm,Q16023654
ru,Станция Петелино,1,36.8278,0.1,,ru,ru,http://stats.grok.se/ru/201506/Станция Петелино,201506,55.6028,15,other,Q16023820
ru,Татарки (Одинцовский район),1,36.8278,0.01,,ru,ru,http://stats.grok.se/ru/201506/Татарки (Одинцовский район),201506,55.6097,26,adm,Q16024519
ru,Городское поселение Львовский,1,37.5222,0.01,,ru,ru,http://stats.grok.se/ru/201506/Городское поселение Львовский,201506,55.3139,115,other,Q16029570
ru,Торопово (Московская область),1,38.3519,0.01,,ru,ru,http://stats.grok.se/ru/201506/Торопово (Московская область),201506,55.4333,17,adm,Q16029584
ru,Тёрновка (Московская область),1,36.6972,0.01,,ru,ru,http://stats.grok.se/ru/201506/Тёрновка (Московская область),201506,55.4,8,adm,Q16029611
ru,Чапаевка (Московская область),1,36.6472,0.1,,ru,ru,http://stats.grok.se/ru/201506/Чапаевка (Московская область),201506,55.5903,32,adm,Q16029707
ru,Щедрино (Московская область),1,37.1278,0.1,,ru,ru,http://stats.grok.se/ru/201506/Щедрино (Московская область),201506,55.6375,34,adm,Q16029775
ru,Рябцево (Московская область),1,37.83469444,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Рябцево (Московская область),201506,55.37587222,5,adm,Q16268927
ru,Памятник Шаляпину (Москва),1,37.583452777778,0.0000027777777777778,,ru,ru,http://stats.grok.se/ru/201506/Памятник Шаляпину (Москва),201506,55.757163888889,22,other,Q16271011
ru,Бабаиха,2,37.35416667,0.000010,,ru,ru|eo,http://stats.grok.se/ru/201506/Бабаиха,201506,56.09722222,15,other,Q16273522
ru,Трусово (Истринский район),2,36.86388889,0.000010,,ru,ru|uk,http://stats.grok.se/ru/201506/Трусово (Истринский район),201506,55.89444444,21,adm,Q16321317
ru,Хованское (Московская область),1,37.06388889,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Хованское (Московская область),201506,55.92638889,18,adm,Q16321319
ru,Гульнево,1,37.32361111,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Гульнево,201506,56.17361111,8,other,Q16472022
ru,Нефедиха,1,37.34166667,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Нефедиха,201506,56.14305556,6,other,Q16472116
ru,Copper House,1,37.60364167,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Copper House,201506,55.75543056,1,other,Q16486767
ru,Церковь Усекновения Главы Иоанна Предтечи,1,37.10138889,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Церковь Усекновения Главы Иоанна Предтечи,201506,55.52638889,24,religion,Q16487498
ru,Авиамоторный научно-технический комплекс «Союз»,1,37.57222222,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Авиамоторный научно-технический комплекс «Союз»,201506,55.71416667,130,other,Q16495857
ru,Валуево,1,37.354812,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Валуево,201506,55.57399,20,other,Q16629040
ru,Воробьёво,1,37.671184,0.000010,,ru,ru,http://stats.grok.se/ru/201506/Воробьёво,201506,55.31044,23,other,Q16631712
ru,Воробьёвский дворец,1,37.545,0.001,,ru,ru,http://stats.grok.se/ru/201506/Воробьёвский дворец,201506,55.70638889,161,other,Q16631716
en,Dynamo Manage (Moscow),1,37.5643,0.015978439862109,,en,en,http://stats.grok.se/en/201506/Dynamo Manage (Moscow),201506,55.7916,37,other,Q16632739
